index,pc,var
175,147,0.0014043646685272348
176,256,0.0014038190907639666
177,9,0.0014023918267064939
178,52,0.0013894354563275607
179,282,0.0013859260555255507
180,250,0.0013849985886667127
181,154,0.0013707437513068162
182,34,0.0013696808655965136
183,274,0.001367775793072512
184,221,0.0013592517736370623
185,125,0.001357736736514638
186,294,0.0013517906601927228
187,87,0.0013499097100993925
188,229,0.0013496873260277684
189,224,0.001348147547077445
190,69,0.001347809757012683
191,32,0.001327632762204656
192,135,0.0013115678321254532
193,16,0.0013097870198394634
194,61,0.0013033704740309207
195,10,0.001301017128353582
196,115,0.0012987924907117076
197,217,0.0012965449506610357
198,165,0.001296108520476902
199,40,0.0012897472111352162
200,73,0.0012836826914619246
201,212,0.001280148891167333
202,49,0.0012755039896547168
203,186,0.0012731634286355853
204,178,0.0012694788296625284
205,79,0.0012659836706558495
206,238,0.0012616753907097916
207,235,0.0012562279580722788
208,146,0.00125194264478401
209,121,0.0012463435517349577
210,101,0.0012445423510233698
211,191,0.001242663159420157
212,171,0.001234181972142053
213,176,0.0012238299246380376
214,231,0.0012192592545771635
215,266,0.0012110795280436788
216,216,0.0012077829472561404
217,54,0.0012062546875619485
218,182,0.0012021078392945347
219,144,0.0011985222246009457
220,68,0.0011945237378663668
221,158,0.0011926409971557267
222,204,0.0011916650798172157
223,113,0.0011894863782454465
224,129,0.001175921409850911
225,46,0.0011709387001607265
226,70,0.0011673282759894312
227,97,0.00116555785108725
228,177,0.0011595690064633553
229,175,0.0011577178765897272
230,223,0.0011501520195761948
231,35,0.001146942554711321
232,211,0.0011448704032969066
233,119,0.0011365885055324124
234,132,0.0011357649281795758
235,58,0.0011322966480293724
236,27,0.0011181393584275706
237,126,0.0011137402776989632
238,108,0.001095939208174807
239,123,0.001095387428859851
240,200,0.001091501659650811
241,48,0.0010865629752830294
242,201,0.0010860014809713845
243,242,0.001085844842192099
244,71,0.0010833361775206046
245,173,0.001081481513482503
246,47,0.0010760845865354991
247,77,0.0010753688829281834
248,134,0.0010639820857449268
